NAME,state,population_2010,population_2015,population_2020,2010_to_2015_chg,2015_to_2020_chg,2010_to_2020_chg
Alabama,01,4712651,4830620,4893186,0.025032407449649963,0.012951960617891611,0.03830858682300042
Alaska,02,691189,733375,736990,0.061033957426984475,0.0049292653826487065,0.06626407538314405
Arizona,04,6246816,6641928,7174064,0.06325014215241809,0.08011770076399505,0.1484352988786608
Arkansas,05,2872684,2958208,3011873,0.0297714611144142,0.01814105025745305,0.0484525969441818
California,06,36637290,38421464,39346023,0.04869830710732148,0.024063606738150334,0.07393377075651619
Colorado,08,4887061,5278906,5684926,0.08018009187935249,0.07691366355074325,0.16326070004037185
Connecticut,09,3545837,3593222,3570549,0.013363558448964197,-0.006309935762388141,0.00696929949120606
Delaware,10,881278,926454,967679,0.05126191735184582,0.04449762211615482,0.09804057289527246
District of Columbia,11,584400,647484,701974,0.10794661190965082,0.08415651969778404,0.20118754277891848
Florida,12,18511620,19645772,21216924,0.06126703119446053,0.07997405243224853,0.14614085639182317
Georgia,13,9468815,10006693,10516579,0.05680520740979733,0.050954496155722895,0.11065418428810792
Hawaii,15,1333591,1406299,1420074,0.05452046392034737,0.009795214246757,0.06484971779203663
Idaho,16,1526797,1616547,1754367,0.05878319121664499,0.08525579522278037,0.14905059415233324
Illinois,17,12745359,12873761,12716164,0.010074412184074122,-0.012241721747048073,-0.0022906377136964196
Indiana,18,6417398,6568645,6696893,0.023568274867789007,0.01952427022620351,0.04355269846127663
Iowa,19,3016267,3093526,3150011,0.025614111748064827,0.01825909981037821,0.04434090218140496
Kansas,20,2809329,2892987,2912619,0.029778641091876334,0.006786065751418935,0.03676678665973254
Kentucky,21,4285828,4397353,4461952,0.026021809554653164,0.014690428537349698,0.041094509625677844
Louisiana,22,4429940,4625253,4664616,0.04408931046470155,0.008510453374118043,0.052974983859826574
Maine,23,1327665,1329100,1340825,0.0010808449420598443,0.008821759085095193,0.009912138980842311
Maryland,24,5696423,5930538,6037624,0.041098598190478564,0.018056709188947195,0.059897412815024476
Massachusetts,25,6477096,6705586,6873003,0.03527661161730511,0.02496679633964871,0.061124151934755844
Michigan,26,9952687,9900571,9973907,-0.005236374860376869,0.007407249541465877,0.0021320875458055166
Minnesota,27,5241914,5419171,5600166,0.03381532012925059,0.03339901988699001,0.0683437385657224
Mississippi,28,2941991,2988081,2981835,0.01566626138557181,-0.0020903047808944475,0.013543209343604312
Missouri,29,5922314,6045448,6124160,0.020791535200598954,0.013020044172077805,0.0340822860793939
Montana,30,973739,1014699,1061705,0.042064660037237855,0.04632506782799628,0.09033837609462081
Nebraska,31,1799125,1869365,1923826,0.03904120058361693,0.02913342231185445,0.06931202667963587
Nevada,32,2633331,2798636,3030281,0.06277410625553714,0.0827706782875659,0.15074063989676945
New Hampshire,33,1313939,1324201,1355244,0.00781010381760483,0.023442815705470688,0.03143601034751242
New Jersey,34,8721577,8904413,8885418,0.020963639947225055,-0.0021332119253677506,0.018785708135122814
New Mexico,35,2013122,2084117,2097021,0.03526611899328502,0.006191590971140304,0.04167606334837126
New York,36,19229752,19673174,19514849,0.023059163737525035,-0.008047760874783094,0.014825828227009952
North Carolina,37,9271178,9845333,10386227,0.06192902347468676,0.0549391269955013,0.12027047695557136
North Dakota,38,659858,721640,760394,0.09362923538094559,0.05370267723518651,0.15236005322357227
Ohio,39,11512431,11575977,11675275,0.005519772496356268,0.008577936877379733,0.014145057633787372
Oklahoma,40,3675339,3849733,3949342,0.0474497726604266,0.02587426192933373,0.07455176243606365
Oregon,41,3761925,3939233,4176346,0.04713225276952615,0.06019268217950047,0.11016195166038667
Pennsylvania,42,12612705,12779559,12794885,0.013229041668698427,0.0011992589102645113,0.014444165625058236
Rhode Island,44,1056389,1053661,1057798,-0.002582382058124444,0.0039263102648765535,0.0013337889735693942
South Carolina,45,4511428,4777576,5091517,0.05899418099989617,0.06571135655403504,0.1285821252162287
South Dakota,46,799462,843190,879336,0.05469678358696228,0.042868155457251644,0.09990968926603139
Tennessee,47,6234968,6499615,6772268,0.042445606777773426,0.041949100062080635,0.08617526184577051
Texas,48,24311891,26538614,28635442,0.09158987262652674,0.07901045623558178,0.17783688648488916
Utah,49,2657236,2903379,3151239,0.0926312152928832,0.08536949533629601,0.18590859073112065
Vermont,50,624258,626604,624340,0.0037580615706966913,-0.0036131272701738215,0.00013135594577873277
Virginia,51,7841754,8256630,8509358,0.05290602077035311,0.03060909838517656,0.08513452475045757
Washington,53,6561297,6985464,7512465,0.06464682211459105,0.07544251892215037,0.14496646013737835
West Virginia,54,1840802,1851420,1807426,0.005768138018102942,-0.023762301368679184,-0.018131227584498477
Wisconsin,55,5637947,5742117,5806975,0.018476583763557874,0.011295137316080561,0.02998041663037987
Wyoming,56,545579,579679,581348,0.06250240570109922,0.002879179683928479,0.06556154104171896
Puerto Rico,72,3762322,3583073,3255642,-0.047643184182534104,-0.0913827320850008,-0.134672151931706
