,NAME,state,population_2015,population_2020,2015_to_2020_chg
0,20152,51,28574,36465,0.27616014558689717
1,20155,51,32716,37151,0.13556058197823684
2,20615,24,460,513,0.11521739130434772
3,20646,24,18615,22583,0.21316142895514378
4,20657,24,19525,19711,0.009526248399487791
5,20664,24,2905,3285,0.13080895008605853
6,20690,24,622,950,0.527331189710611
7,20722,24,5966,5604,-0.06067717063359035
8,20745,24,29145,27503,-0.05633899468176362
9,20751,24,2327,1972,-0.1525569402664375
10,20763,24,2101,1955,-0.06949071870537837
11,20776,24,3344,2940,-0.1208133971291866
12,20778,24,1909,2460,0.2886327920377161
13,20812,24,286,323,0.12937062937062938
14,20816,24,16581,16661,0.004824799469272056
15,20852,24,45962,47338,0.02993777468343417
16,20861,24,1848,2015,0.09036796536796543
17,20871,24,16795,18961,0.12896695445072948
18,20001,11,43731,47697,0.0906908142964944
19,20020,11,53646,57031,0.06309883309100406
20,20105,51,15021,27526,0.8325011650356169
21,20166,51,10150,12572,0.23862068965517236
22,20175,51,31288,35429,0.13235106110969053
23,20186,51,14713,15143,0.029225854686331765
24,20191,51,29362,30224,0.029357673183025623
25,20194,51,13635,12067,-0.11499816648331496
26,20601,24,25028,26236,0.048265942144797735
27,20626,24,267,278,0.04119850187265928
28,20650,24,14030,14069,0.002779757662152438
29,20662,24,3262,2333,-0.2847946045370938
30,20667,24,508,868,0.7086614173228347
31,20680,24,1361,649,-0.5231447465099192
32,20692,24,1641,684,-0.583180987202925
33,20715,24,26627,27360,0.02752844856724379
34,20716,24,21860,22223,0.016605672461116106
35,20721,24,27718,30121,0.08669456670755471
36,20732,24,9973,10295,0.03228717537350856
37,20735,24,38610,37009,-0.041465941465941514
38,20743,24,38828,38747,-0.00208612341609149
39,20815,24,30009,30908,0.02995767936285776
40,20842,24,1634,1467,-0.10220318237454096
41,20850,24,47184,53522,0.13432519498134954
42,20862,24,260,359,0.38076923076923075
43,20866,24,13959,16974,0.21598968407479036
44,20874,24,59202,60258,0.01783723522853964
45,20876,24,26423,31703,0.19982590924573285
46,20878,24,64890,63576,-0.02024965325936201
47,20882,24,14253,14441,0.013190205570757119
48,20032,11,39776,42009,0.05613938053097356
49,20036,11,5405,5426,0.003885291396854784
50,20117,51,2530,2591,0.024110671936758976
51,20794,24,14510,16956,0.16857339765678847
52,20814,24,28241,29632,0.04925462979356254
53,20838,24,247,377,0.5263157894736843
54,20877,24,36724,37948,0.03332970264677049
55,24991,54,658,675,0.02583586626139822
56,24639,51,3301,4025,0.21932747652226592
57,24657,51,424,504,0.18867924528301883
58,24737,54,72,174,1.4166666666666665
