NAME,state,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2021,2010_to_2011_chg,2011_to_2012_chg,2012_to_2013_chg,2013_to_2014_chg,2014_to_2015_chg,2015_to_2016_chg,2016_to_2017_chg,2017_to_2018_chg,2018_to_2019_chg,2019_to_2021_chg,2010_to_2021_chg
Alabama,01,4785298,4802740,4822023,4833722,4849377,4858979,4863300,4874747,4887871,4903185,5039877,0.0036449140680476777,0.004014999770963978,0.0024261601406712074,0.003238705080681026,0.0019800481587635144,0.0008892814725067755,0.0023537515678655474,0.002692242284573876,0.0031330614085356423,0.027878205696909353,0.0532002395671074
Alaska,02,713985,722718,731449,735132,736732,738432,741894,739795,737438,731545,732673,0.012231349398096558,0.012080783929554917,0.005035210930632195,0.002176479870281689,0.002307487661727725,0.004688312532501238,-0.0028292451482286873,-0.003186017748159964,-0.007991180275494392,0.0015419420541455953,0.026174219346344785
Arizona,04,6413737,6482505,6553255,6626624,6731484,6828065,6931071,7016270,7171646,7278717,7276316,0.01072198626167542,0.01091399081065103,0.011195810326318778,0.015824045547174537,0.014347653504041658,0.015085679471416924,0.012292328270767872,0.02214509988925739,0.01492976647202049,-0.00032986582662852815,0.1344893000757592
Arkansas,05,2921606,2937979,2949131,2959373,2966369,2978204,2988248,3004279,3013825,3017804,3025891,0.005604109520585654,0.0037958065731580337,0.0034728874370111296,0.0023640142692387123,0.003989726160164242,0.0033725023537676257,0.005364681913951008,0.0031774678716589566,0.0013202491850057285,0.002679763165533533,0.03569440917084643
California,06,37349363,37691912,38041430,38332521,38802500,39144818,39250017,39536653,39557045,39512223,39237836,0.009171481719781882,0.009273023878438424,0.007651946837960555,0.012260581556845729,0.008822060434250378,0.002687431066865642,0.0073028248624706915,0.0005157745649333467,-0.001133097783214132,-0.006944357446049043,0.05056238844019911
Colorado,08,5049071,5116796,5187582,5268367,5355866,5456574,5540545,5607154,5695564,5758736,5812069,0.013413358615872006,0.013834047712670161,0.015572765885917494,0.01660837219578659,0.01880330837253963,0.015388960179042677,0.01202210251879543,0.01576735720117539,0.01109143888120645,0.009261233715176287,0.15111651232474244
Connecticut,09,3577073,3580709,3590347,3596080,3596677,3590886,3576452,3588184,3572665,3565287,3605597,0.0010164735245827838,0.0026916457048031805,0.001596781592419827,0.00016601410424677,-0.0016100973203876379,-0.004019620784396993,0.00328034599653515,-0.004325029039759398,-0.0020651250537063737,0.011306242667140198,0.007974117385918689
Delaware,10,899769,907135,917092,925749,935614,945934,952065,961939,967171,973764,1003384,0.008186545657830058,0.01097631554289058,0.009439620016312489,0.010656236193611779,0.01103018980049475,0.006481424708277839,0.010371140625902608,0.005439014324193137,0.0068167883445637845,0.030418047904831047,0.11515733482705004
District of Columbia,11,604453,617996,632323,646449,658893,672228,681170,693972,702455,705749,670050,0.022405381394417834,0.023182997948206774,0.02233984846352266,0.019249778404792917,0.020238490923412344,0.013302034428795073,0.018794133623031062,0.01222383612018918,0.0046892683517094635,-0.05058313933140535,0.10852291245142309
Florida,12,18843326,19057542,19317568,19552860,19893297,20271272,20612439,20984400,21299325,21477737,21781128,0.011368269062478564,0.013644256956117484,0.012180208191838737,0.017411110190529655,0.0190001184821198,0.01683007361353539,0.018045462742181995,0.015007577057242427,0.00837641568453451,0.014125836441706952,0.15590676507958312
Georgia,13,9712587,9815210,9919945,9992167,10097343,10214860,10310371,10429379,10519475,10617423,10799566,0.010565980001002728,0.010670683561533556,0.00728048391397329,0.010525844894305747,0.011638408242643727,0.009350201569086503,0.011542552639473458,0.008638673501078165,0.00931111105829907,0.01715510439774315,0.11191446727838827
Hawaii,15,1363621,1374810,1392313,1404054,1419561,1431603,1428557,1427538,1420491,1415872,1441553,0.008205359113712785,0.012731213767720684,0.00843273028406677,0.01104444700844831,0.008482904221798204,-0.0021276848400010318,-0.0007133072044027688,-0.004936471043152646,-0.0032516925485623904,0.018137939022736527,0.057150777232090055
Idaho,16,1571450,1584985,1595728,1612136,1634464,1654930,1683140,1716943,1754208,1787065,1900923,0.008613064367304135,0.006777982126013882,0.010282454152587439,0.013849948143332735,0.01252153611214446,0.017046038201011582,0.02008329669546205,0.02170427323446389,0.01873039001076271,0.06371228802533757,0.20966177733939984
Illinois,17,12843166,12869259,12875255,12882135,12880580,12859995,12801539,12802023,12741080,12671821,12671469,0.0020316641550846004,0.00046591649138472135,0.0005343583486308034,-0.00012070980470235693,-0.001598142319678142,-0.00454556941896167,3.780795418428795e-05,-0.004760419505573488,-0.005435881416645971,-2.7778170161973925e-05,-0.013368744124306997
Indiana,18,6490621,6516922,6537334,6570902,6596855,6619680,6633053,6666818,6691878,6732219,6805985,0.0040521546397487285,0.0031321534920933924,0.005134814895491058,0.003949686055278345,0.0034599820672123194,0.0020201882870471977,0.0050904161326617015,0.0037589146726368927,0.006028352579051877,0.010957159890371937,0.048587646698212694
Iowa,19,3049883,3062309,3074186,3090416,3107126,3123899,3134693,3145711,3156145,3155070,3193079,0.004074254651735831,0.003878445970018074,0.00527944633148425,0.00540703905234774,0.0053982361835343,0.0034552973703694256,0.0035148577548105298,0.0033168971974857353,-0.00034060539043678784,0.01204695933846156,0.04695130927973312
Kansas,20,2859169,2871238,2885905,2893957,2904021,2911641,2907289,2913123,2911510,2913314,2934582,0.00422115656682065,0.005108249472875359,0.0027901126336451476,0.0034775914085800608,0.002623947967318463,-0.0014946897642944545,0.0020066804504126345,-0.0005537013026912785,0.0006196097557624736,0.00730027727872784,0.026375845569114764
Kentucky,21,4346266,4369356,4380415,4395295,4413457,4425092,4436974,4454189,4468402,4467673,4509394,0.00531260626938157,0.002531036610429638,0.0033969384179353135,0.00413214585141608,0.002636255434232071,0.0026851419134337196,0.0038798965240725014,0.0031909288088134424,-0.00016314557195162838,0.009338418456319442,0.03753290755788985
