NAME,state,county,population_2010,population_2015,population_2020,2010_to_2015_chg,2015_to_2020_chg,2010_to_2020_chg
"Las Marías Municipio, Puerto Rico",72,083,10156.0,9306.0,8131.0,-0.08369436786136275,-0.1262626262626263,-0.19938952343442296
"San Germán Municipio, Puerto Rico",72,125,35997.0,34125.0,30811.0,-0.05200433369447455,-0.09711355311355307,-0.14406756118565434
"Comerío Municipio, Puerto Rico",72,045,20773.0,20339.0,18942.0,-0.020892504693592606,-0.06868577609518656,-0.0881432628893275
"Canóvanas Municipio, Puerto Rico",72,029,47151.0,47432.0,45120.0,0.005959576679179568,-0.048743464327879904,-0.04307437806197112
"Rincón Municipio, Puerto Rico",72,117,15203.0,14841.0,13849.0,-0.023811089916463857,-0.06684185701772116,-0.08906136946655263
"Guánica Municipio, Puerto Rico",72,055,19990.0,18207.0,15825.0,-0.08919459729864931,-0.13082880210907888,-0.2083541770885443
"Añasco Municipio, Puerto Rico",72,011,29254.0,28579.0,26555.0,-0.023073767689888558,-0.07082123237342108,-0.0922608874000137
"San Sebastián Municipio, Puerto Rico",72,131,42982.0,40471.0,36292.0,-0.05841980363873245,-0.10325912381705415,-0.1556465497184868
"Cataño Municipio, Puerto Rico",72,033,28663.0,26680.0,23698.0,-0.06918326762725469,-0.11176911544227885,-0.1732198304434288
"Loíza Municipio, Puerto Rico",72,087,30703.0,28454.0,25164.0,-0.07325017099306252,-0.11562521965277295,-0.18040582353515944
"Juana Díaz Municipio, Puerto Rico",72,075,51020.0,49259.0,45414.0,-0.034515876127009015,-0.07805680180271624,-0.10987847902783221
"Río Grande Municipio, Puerto Rico",72,119,54270.0,53029.0,48828.0,-0.022867145752717866,-0.0792208037111769,-0.10027639579878389
"Bayamón Municipio, Puerto Rico",72,021,212183.0,197287.0,173695.0,-0.07020355070858642,-0.11958213161536235,-0.18139059208324892
"Peñuelas Municipio, Puerto Rico",72,111,24879.0,22770.0,19797.0,-0.0847702881948631,-0.130566534914361,-0.20426866031592905
