NAME,state,county,population_2011,population_2016,population_2021,2011_to_2016_chg,2016_to_2021_chg,2011_to_2021_chg
"Sweetwater County, Wyoming",56,037,43152.0,44812.0,42459.0,0.03846866889136069,-0.05250825671695081,-0.016059510567297042
"Platte County, Wyoming",56,031,8681.0,8740.0,8607.0,0.006796452021656574,-0.01521739130434785,-0.008524363552586123
"Sheridan County, Wyoming",56,033,28743.0,29924.0,30812.0,0.041088264968861976,0.02967517711535894,0.0719827436245346
"Big Horn County, Wyoming",56,003,11553.0,11931.0,11671.0,0.03271877434432624,-0.021791970497024526,0.010213797282091264
"Crook County, Wyoming",56,011,6926.0,7284.0,7185.0,0.05168928674559625,-0.013591433278418497,0.03739532197516615
"Park County, Wyoming",56,029,27934.0,29083.0,29664.0,0.041132669864681004,0.019977306330158484,0.06193169614090355
"Albany County, Wyoming",56,001,35515.0,37836.0,37311.0,0.06535266788680838,-0.013875673961306734,0.050570181613402765
"Carbon County, Wyoming",56,007,15750.0,15696.0,14714.0,-0.0034285714285714475,-0.06256371049949028,-0.06577777777777782
"Goshen County, Wyoming",56,015,13064.0,13546.0,12642.0,0.03689528475199011,-0.06673556769526057,-0.03230251071647272
"Uinta County, Wyoming",56,041,20788.0,20893.0,20514.0,0.005050990956321,-0.018140046905662177,-0.01318068116220894
"Washakie County, Wyoming",56,043,8372.0,8351.0,7768.0,-0.0025083612040134318,-0.06981199856304632,-0.07214524605828954
"Hot Springs County, Wyoming",56,017,4754.0,4781.0,4673.0,0.0056794278502314555,-0.022589416440075283,-0.017038283550694144
"Fremont County, Wyoming",56,013,39515.0,40683.0,39434.0,0.029558395545995264,-0.030700784111299506,-0.002049854485638325
"Sublette County, Wyoming",56,035,9758.0,10032.0,8830.0,0.028079524492723884,-0.11981658692185004,-0.09510145521623281
"Weston County, Wyoming",56,045,7144.0,7175.0,6891.0,0.0043393057110863165,-0.03958188153310105,-0.03541433370660696
"Guayanilla Municipio, Puerto Rico",72,059,21767.0,20025.0,18047.0,-0.08002940230624345,-0.09877652933832715,-0.1709009050397391
"Juncos Municipio, Puerto Rico",72,077,40104.0,39942.0,37290.0,-0.004039497307001816,-0.06639627459816733,-0.07016756433273486
"Sabana Grande Municipio, Puerto Rico",72,121,25392.0,24013.0,22860.0,-0.05430844360428477,-0.048015658185149745,-0.09971644612476371
"Adjuntas Municipio, Puerto Rico",72,001,19514.0,18760.0,18068.0,-0.03863892589935436,-0.03688699360341152,-0.07410064569027364
"Guánica Municipio, Puerto Rico",72,055,19680.0,17788.0,14297.0,-0.09613821138211387,-0.19625590285585792,-0.2735264227642277
