,NAME,state,county,population_2000,population_2010,population_2020,2000_to_2010_chg,2010_to_2020_chg,2000_to_2020_chg
0,"Autauga County, Alabama",01,001,43671.0,54571.0,58805,0.24959355178493747,0.07758699675651903,0.3465457626342423
1,"Baldwin County, Alabama",01,003,140415.0,182265.0,231767,0.2980450806537762,0.27159355882917735,0.6505857636292418
2,"Barbour County, Alabama",01,005,29038.0,27457.0,25223,-0.054445898477856636,-0.0813635866992024,-0.1313795715958399
3,"Bibb County, Alabama",01,007,20826.0,22915.0,22293,0.1003073081724768,-0.02714379227580188,0.07044079515989621
4,"Blount County, Alabama",01,009,51024.0,57322.0,59134,0.12343211037942936,0.031610899829035866,0.1589448102853559
5,"Bullock County, Alabama",01,011,11714.0,10914.0,10357,-0.06829434864264983,-0.05103536741799519,-0.11584428888509479
6,"Butler County, Alabama",01,013,21399.0,20947.0,19051,-0.021122482358988726,-0.09051415477156632,-0.10972475349315391
7,"Calhoun County, Alabama",01,015,112249.0,118572.0,116441,0.0563301232082245,-0.01797220254360221,0.037345544281017995
8,"Chambers County, Alabama",01,017,36583.0,34215.0,34772,-0.06472951917557335,0.01627940961566554,-0.049503867916791955
9,"Cherokee County, Alabama",01,019,23988.0,25989.0,24971,0.08341670835417703,-0.03917041825387668,0.040978822744705656
10,"Chilton County, Alabama",01,021,39593.0,43643.0,45014,0.10229080898138565,0.03141397245835531,0.13691814209582498
11,"Choctaw County, Alabama",01,023,15922.0,13859.0,12665,-0.1295691496043211,-0.08615340212136513,-0.20455972867730188
12,"Clarke County, Alabama",01,025,27867.0,25833.0,23087,-0.07298955754117775,-0.10629814578252628,-0.17152904869558971
13,"Clay County, Alabama",01,027,14254.0,13932.0,14236,-0.022590150133295905,0.02182026988228536,-0.0012628034236004115
14,"Cleburne County, Alabama",01,029,14123.0,14972.0,15056,0.060114706507116145,0.0056104728827144346,0.066062451320541
15,"Coffee County, Alabama",01,031,43615.0,49948.0,53465,0.14520233864496168,0.07041322975894926,0.2258397340364553
16,"Colbert County, Alabama",01,033,54984.0,54428.0,57227,-0.010112032591299336,0.05142573675314166,0.040793685435763116
17,"Conecuh County, Alabama",01,035,14089.0,13228.0,11597,-0.061111505429767954,-0.12329906259449652,-0.1768755766910356
18,"Coosa County, Alabama",01,037,12202.0,11539.0,10387,-0.054335354859859075,-0.0998353410174192,-0.1487461071955417
19,"Covington County, Alabama",01,039,37631.0,37765.0,37570,0.0035608939438229736,-0.005163511187607606,-0.001621003959501488
20,"Crenshaw County, Alabama",01,041,13665.0,13906.0,13194,0.01763629710940351,-0.0512009204659859,-0.034467618002195444
21,"Cullman County, Alabama",01,043,77483.0,80406.0,87866,0.03772440406282662,0.09277914583488789,0.13400358788379396
22,"Dale County, Alabama",01,045,49129.0,50251.0,49326,0.02283783508721937,-0.018407593878728812,0.004009851615135673
23,"Dallas County, Alabama",01,047,46365.0,43820.0,38462,-0.054890542435026446,-0.1222729347329986,-0.17045184945540814
24,"DeKalb County, Alabama",01,049,64452.0,71109.0,71608,0.10328616644945066,0.007017395828938566,0.11102836219201895
25,"Elmore County, Alabama",01,051,65874.0,79303.0,87977,0.2038588821082672,0.10937795543674267,0.3355345052676322
26,"Escambia County, Alabama",01,053,38440.0,38319.0,36757,-0.0031477627471383496,-0.0407630679297476,-0.04378251821019774
27,"Etowah County, Alabama",01,055,103459.0,104430.0,103436,0.009385360384306818,-0.009518337642439922,-0.0002223102871669047
28,"Fayette County, Alabama",01,057,18495.0,17241.0,16321,-0.06780210867802106,-0.053361173945826845,-0.11754528250878615
29,"Franklin County, Alabama",01,059,31223.0,31704.0,32113,0.015405310188002508,0.012900580368407688,0.02850462799859077
30,"Geneva County, Alabama",01,061,25764.0,26790.0,26659,0.03982300884955747,-0.004889884285181001,0.034738394659214356
31,"Greene County, Alabama",01,063,9974.0,9045.0,7730,-0.09314216964106681,-0.14538419016030957,-0.22498496089833564
32,"Hale County, Alabama",01,065,17185.0,15760.0,14785,-0.082921152167588,-0.06186548223350252,-0.13965667733488507
33,"Henry County, Alabama",01,067,16310.0,17302.0,17146,0.06082158185162467,-0.009016298693792613,0.05125689760882901
34,"Houston County, Alabama",01,069,88787.0,101547.0,107202,0.14371473301271576,0.055688498921681484,0.2074064896888057
35,"Jackson County, Alabama",01,071,53926.0,53227.0,52579,-0.01296220746949528,-0.012174272455708568,-0.0249786744798427
36,"Jefferson County, Alabama",01,073,662047.0,658466.0,674721,-0.005408981537564528,0.024686164509633013,0.01914365596400258
37,"Lamar County, Alabama",01,075,15904.0,14564.0,13972,-0.08425553319919521,-0.04064817357868722,-0.12147887323943662
38,"Lauderdale County, Alabama",01,077,87966.0,92709.0,93564,0.05391855944342128,0.009222405591690075,0.06363822385921836
39,"Lawrence County, Alabama",01,079,34803.0,34339.0,33073,-0.013332184007125769,-0.03686770144733398,-0.049708358474844117
40,"Lee County, Alabama",01,081,115092.0,140247.0,174241,0.21856427901157338,0.24238664641667906,0.513927988044347
41,"Limestone County, Alabama",01,083,65676.0,82782.0,103570,0.260460442170656,0.2511173926699042,0.5769839819721054
42,"Lowndes County, Alabama",01,085,13473.0,11299.0,10311,-0.16135975655013735,-0.08744136649260992,-0.23469160543308842
43,"Macon County, Alabama",01,087,24105.0,21452.0,19532,-0.11006015349512555,-0.08950214432220771,-0.18971167807508815
44,"Madison County, Alabama",01,089,276700.0,334811.0,388153,0.21001445608962777,0.15931973561203194,0.4027936393205638
45,"Marengo County, Alabama",01,091,22539.0,21027.0,19323,-0.06708372154931452,-0.08103866457411901,-0.14268601091441502
46,"Marion County, Alabama",01,093,31214.0,30776.0,29341,-0.014032165054142398,-0.046627242006758496,-0.06000512590504259
47,"Marshall County, Alabama",01,095,82231.0,93019.0,97612,0.13119139983704442,0.049377008998161775,0.18704624776544132
48,"Mobile County, Alabama",01,097,399843.0,412992.0,414809,0.0328854075224525,0.004399600960793393,0.03742969115377792
49,"Monroe County, Alabama",01,099,24324.0,23068.0,19772,-0.0516362440388094,-0.14288191434021158,-0.18714027298141755
50,"Montgomery County, Alabama",01,101,223510.0,229363.0,228954,0.026186747796519194,-0.0017831995570340986,0.024356852042414223
51,"Morgan County, Alabama",01,103,111064.0,119490.0,123421,0.07586616725491613,0.032898150472842946,0.111260174313909
52,"Perry County, Alabama",01,105,11861.0,10591.0,8511,-0.10707360256302167,-0.19639316400717588,-0.2824382429811989
53,"Pickens County, Alabama",01,107,20949.0,19746.0,19123,-0.05742517542603465,-0.03155069381140485,-0.08716406511050645
54,"Pike County, Alabama",01,109,29605.0,32899.0,33009,0.11126498902212467,0.003343566673759124,0.11498057760513425
55,"Randolph County, Alabama",01,111,22380.0,22913.0,21967,0.023815907059874908,-0.04128660585693711,-0.018453976764968738
56,"Russell County, Alabama",01,113,49756.0,52947.0,59183,0.06413296888817421,0.1177781555140045,0.189464587185465
57,"St. Clair County, Alabama",01,115,64742.0,83593.0,91103,0.2911711099440857,0.08984005837809383,0.4071699978375707
58,"Shelby County, Alabama",01,117,143293.0,195085.0,223024,0.3614412427683138,0.14321449624522642,0.5564193645188529
59,"Sumter County, Alabama",01,119,14798.0,13763.0,12345,-0.06994188403838353,-0.1030298626752888,-0.16576564400594673
60,"Talladega County, Alabama",01,121,80321.0,82291.0,82149,0.024526587069384043,-0.0017255835996645708,0.022758680793316888
61,"Tallapoosa County, Alabama",01,123,41475.0,41616.0,41311,0.003399638336347266,-0.007328911956939632,-0.003954189270644948
62,"Tuscaloosa County, Alabama",01,125,164875.0,194656.0,227036,0.18062774829416228,0.16634473121814897,0.377018953752843
63,"Walker County, Alabama",01,127,70713.0,67023.0,65342,-0.052182766959399274,-0.025080942363069347,-0.07595491635201446
64,"Washington County, Alabama",01,129,18097.0,17581.0,15388,-0.028513013206608817,-0.12473693191513568,-0.14969331933469632
65,"Wilcox County, Alabama",01,131,13183.0,11670.0,10600,-0.11476902070848816,-0.09168808911739501,-0.1959341576272472
66,"Winston County, Alabama",01,133,24843.0,24484.0,23540,-0.014450750714486982,-0.038555791537330464,-0.05244938211971184
67,"Aleutians East Borough, Alaska",02,013,2697.0,3141.0,3420,0.164627363737486,0.08882521489971351,0.26807563959955516
68,"Aleutians West Census Area, Alaska",02,016,5465.0,5561.0,5232,0.017566331198536123,-0.05916202121920522,-0.04263494967978043
69,"Anchorage Municipality, Alaska",02,020,260283.0,291826.0,291247,0.12118732302916446,-0.001984058994058069,0.11896282123688451
70,"Bethel Census Area, Alaska",02,050,16006.0,17013.0,18666,0.0629139072847682,0.09716099453359206,0.16618767962014247
71,"Bristol Bay Borough, Alaska",02,060,1258.0,997.0,844,-0.2074721780604134,-0.1534603811434303,-0.329093799682035
72,"Denali Borough, Alaska",02,068,1893.0,1826.0,1619,-0.03539355520338083,-0.11336254107338439,-0.14474379292128892
73,"Dillingham Census Area, Alaska",02,070,4922.0,4847.0,4857,-0.015237708248679427,0.00206313183412421,-0.01320601381552211
74,"Fairbanks North Star Borough, Alaska",02,090,82840.0,97581.0,95655,0.17794543698696286,-0.019737448888615616,0.15469579913085463
75,"Haines Borough, Alaska",02,100,2392.0,2508.0,2080,0.04849498327759205,-0.17065390749601272,-0.13043478260869568
76,"Juneau City and Borough, Alaska",02,110,30711.0,31275.0,32255,0.01836475529940418,0.03133493205435656,0.050275145713262415
77,"Kenai Peninsula Borough, Alaska",02,122,49691.0,55400.0,58799,0.11489002032561224,0.061353790613718484,0.18329274918999405
78,"Ketchikan Gateway Borough, Alaska",02,130,14070.0,13477.0,13948,-0.0421464108031272,0.03494843065964237,-0.00867093105899075
79,"Kodiak Island Borough, Alaska",02,150,13913.0,13592.0,13101,-0.023071947099834733,-0.03612419070041206,-0.05836268238338249
80,"Lake and Peninsula Borough, Alaska",02,164,1823.0,1631.0,1476,-0.10532089961601754,-0.0950337216431637,-0.1903455842018651
81,"Matanuska-Susitna Borough, Alaska",02,170,59322.0,88995.0,107081,0.5002022858298776,0.20322490027529638,0.8050807457604261
82,"Nome Census Area, Alaska",02,180,9196.0,9492.0,10046,0.0321879077859939,0.05836493889591243,0.09243149195302314
83,"North Slope Borough, Alaska",02,185,7385.0,9430.0,11031,0.27691266079891674,0.16977730646871692,0.49370345294515916
84,"Northwest Arctic Borough, Alaska",02,188,7208.0,7523.0,7793,0.04370144284128741,0.03588993752492353,0.08115982241953379
85,"Sitka City and Borough, Alaska",02,220,8835.0,8881.0,8458,0.005206564799094426,-0.0476297714221372,-0.04267119411431808
86,"Southeast Fairbanks Census Area, Alaska",02,240,6174.0,7029.0,6808,0.13848396501457727,-0.03144117228624266,0.10268869452542928
87,"Yakutat City and Borough, Alaska",02,282,808.0,662.0,662,-0.18069306930693074,0.0,-0.18069306930693074
88,"Yukon-Koyukuk Census Area, Alaska",02,290,6551.0,5588.0,5343,-0.14700045794535188,-0.04384395132426633,-0.18439932834681727
89,"Apache County, Arizona",04,001,69423.0,71518.0,66021,0.030177318756031912,-0.07686176906513043,-0.04900393241432954
90,"Cochise County, Arizona",04,003,117755.0,131346.0,125447,0.11541760434801063,-0.04491191204909173,0.06532206700352416
91,"Coconino County, Arizona",04,005,116320.0,134421.0,145101,0.15561382393397527,0.07945187135938592,0.24742950481430537
92,"Gila County, Arizona",04,007,51335.0,53597.0,53272,0.044063504431674394,-0.006063772226057473,0.037732541151261234
93,"Graham County, Arizona",04,009,33489.0,37220.0,38533,0.11140971662336896,0.03527673293928002,0.15061662038281232
94,"Greenlee County, Arizona",04,011,8547.0,8437.0,9563,-0.012870012870012881,0.1334597605784047,0.1188721188721189
95,"La Paz County, Arizona",04,012,19715.0,20489.0,16557,0.039259447121481106,-0.19190785299428958,-0.16018260207963475
96,"Maricopa County, Arizona",04,013,3072149.0,3817117.0,4420568,0.24249084272930777,0.158090778983196,0.43891718793587153
97,"Mohave County, Arizona",04,015,155032.0,200186.0,213267,0.29125599876154595,0.06534422986622435,0.3756321275607617
98,"Navajo County, Arizona",04,017,97470.0,107449.0,106717,0.10238021955473475,-0.006812534318606955,0.09487021647686467
99,"Pima County, Arizona",04,019,843746.0,980263.0,1043433,0.16179869297158156,0.06444188957453245,0.23666719605189246
100,"Pinal County, Arizona",04,021,179727.0,375770.0,425264,1.0907821306759695,0.13171354818106829,1.3661664635808752
101,"Santa Cruz County, Arizona",04,023,38381.0,47420.0,47669,0.23550715197623817,0.0052509489666807685,0.24199473697923457
102,"Yavapai County, Arizona",04,025,167517.0,211033.0,236209,0.2597706501429706,0.11929887742675316,0.410059874520198
103,"Yuma County, Arizona",04,027,160026.0,195751.0,203881,0.22324497269193766,0.04153235487941309,0.27404921700223706
104,"Arkansas County, Arkansas",05,001,20749.0,19019.0,17149,-0.08337751216926115,-0.09832272990167723,-0.17350233746204635
105,"Ashley County, Arkansas",05,003,24209.0,21853.0,19062,-0.09731917881779506,-0.12771701825836268,-0.21260688173819653
106,"Baxter County, Arkansas",05,005,38386.0,41513.0,41627,0.08146199135101329,0.0027461277190277134,0.08443182410253747
107,"Benton County, Arkansas",05,007,153406.0,221339.0,284333,0.44283144075199155,0.284604159230863,0.8534672698590668
108,"Boone County, Arkansas",05,009,33948.0,36903.0,37373,0.08704489218805223,0.012736091916646375,0.10088959585248025
109,"Bradley County, Arkansas",05,011,12600.0,11508.0,10545,-0.08666666666666667,-0.0836809176225235,-0.16309523809523807
110,"Calhoun County, Arkansas",05,013,5744.0,5368.0,4739,-0.06545961002785516,-0.11717585692995525,-0.1749651810584958
111,"Carroll County, Arkansas",05,015,25357.0,27446.0,28260,0.08238356272429703,0.02965823799460754,0.11448515202902554
112,"Chicot County, Arkansas",05,017,14117.0,11800.0,10208,-0.16412835588297792,-0.13491525423728812,-0.2769001912587661
113,"Clark County, Arkansas",05,019,23546.0,22995.0,21446,-0.023401002293383155,-0.06736247010219609,-0.08918712307822985
114,"Clay County, Arkansas",05,021,17609.0,16083.0,14552,-0.08666023056391614,-0.09519368277062734,-0.17360440683741274
115,"Cleburne County, Arkansas",05,023,24046.0,25970.0,24711,0.0800133078266656,-0.04847901424720835,0.02765532728936204
116,"Cleveland County, Arkansas",05,025,8571.0,8689.0,7550,0.013767355034418394,-0.13108528023938315,-0.11912262279780661
117,"Columbia County, Arkansas",05,027,25603.0,24552.0,22801,-0.04104987696754292,-0.07131801889866407,-0.10944029996484783
118,"Conway County, Arkansas",05,029,20336.0,21273.0,20715,0.04607592446892217,-0.026230432943167403,0.01863690007867813
119,"Craighead County, Arkansas",05,031,82148.0,96443.0,111231,0.1740151920923212,0.15333409371338513,0.35403174757754297
120,"Crawford County, Arkansas",05,033,53247.0,61948.0,60133,0.16340826713242063,-0.029298766707561152,0.12932183972805977
121,"Crittenden County, Arkansas",05,035,50866.0,50902.0,48163,0.0007077419101166882,-0.053809280578366314,-0.053139621751268074
122,"Cross County, Arkansas",05,037,19526.0,17870.0,16833,-0.08480999692717406,-0.05803021824286514,-0.13791867253917856
123,"Dallas County, Arkansas",05,039,9210.0,8116.0,6482,-0.11878393051031488,-0.20133070478068016,-0.296199782844734
124,"Desha County, Arkansas",05,041,15341.0,13008.0,11395,-0.15207613584512092,-0.12400061500615012,-0.25721921647871715
125,"Drew County, Arkansas",05,043,18723.0,18509.0,17350,-0.011429792234150526,-0.06261818574747424,-0.07333226512845159
126,"Faulkner County, Arkansas",05,045,86014.0,113237.0,123498,0.3164949891878066,0.0906152582636417,0.4357895226358499
127,"Franklin County, Arkansas",05,047,17771.0,18125.0,17097,0.01992009453604182,-0.056717241379310335,-0.0379269596533679
128,"Fulton County, Arkansas",05,049,11642.0,12245.0,12075,0.05179522418828375,-0.013883217639853007,0.03719292217831982
129,"Garland County, Arkansas",05,051,88068.0,96024.0,100180,0.09033928328110097,0.043280846455052924,0.13753009038470276
130,"Grant County, Arkansas",05,053,16464.0,17853.0,17958,0.08436588921282806,0.005881364476558515,0.0907434402332361
131,"Greene County, Arkansas",05,055,37331.0,42090.0,45736,0.12748118185958046,0.08662390116417207,0.22514800032144877
132,"Hempstead County, Arkansas",05,057,23587.0,22609.0,20065,-0.041463518039598135,-0.11252156220973952,-0.14931954042481033
133,"Hot Spring County, Arkansas",05,059,30353.0,32923.0,33040,0.08467037854577808,0.003553746620903242,0.08852502223832892
134,"Howard County, Arkansas",05,061,14300.0,13789.0,12785,-0.03573426573426575,-0.07281166146928708,-0.10594405594405598
135,"Independence County, Arkansas",05,063,34233.0,36647.0,37938,0.07051675284082615,0.03522798591972065,0.10822890193672774
136,"Izard County, Arkansas",05,065,13249.0,13696.0,13577,0.03373839535059253,-0.008688668224299034,0.024756585402671893
137,"Jackson County, Arkansas",05,067,18418.0,17997.0,16755,-0.022858073623629016,-0.06901150191698613,-0.09029210554891953
138,"Jefferson County, Arkansas",05,069,84278.0,77435.0,67260,-0.08119556705189968,-0.13140052947633496,-0.2019269560264838
139,"Johnson County, Arkansas",05,071,22781.0,25540.0,25749,0.12110969667705551,0.008183241973375166,0.13028400860366096
140,"Lafayette County, Arkansas",05,073,8559.0,7645.0,6308,-0.1067881761888071,-0.17488554610856766,-0.2629980137866573
