NAME,state,population_2000,population_2010,population_2020,2000_to_2010_population_chg,2010_to_2020_population_chg,2000_to_2020_population_chg
Alabama,01,4447100,4779736,5024279,0.07479840795124915,0.05116244913945045,0.12978772683321704
Alaska,02,626932,710231,733391,0.13286767942934796,0.03260910886739676,0.16980948492021453
Arizona,04,5130632,6392017,7151502,0.24585372718214837,0.11881773781264982,0.39388324869138924
Arkansas,05,2673400,2915918,3011524,0.09071519413480966,0.03278761611266168,0.12647714520834885
California,06,33871648,37253956,39538223,0.09985661164168924,0.061316092175553116,0.16729552102100254
Colorado,08,4301261,5029196,5773714,0.1692375793982277,0.1480391696804022,0.34233053981146466
Connecticut,09,3405565,3574097,3605944,0.049487236332297346,0.00891050242900504,0.058838694900846145
Delaware,10,783600,897934,989948,0.14590862685043393,0.10247301026578781,0.2633333333333334
District of Columbia,11,572059,601723,689545,0.05185479120160674,0.1459508777294536,0.20537392122141251
Florida,12,15982378,18801310,21538187,0.17637750777762862,0.14556842049835894,0.34762092349461393
Georgia,13,8186453,9687653,10711908,0.18337612150219385,0.10572787856873078,0.30849196837751336
Hawaii,15,1211537,1360301,1455271,0.12278948146032675,0.06981543055544326,0.20117751253160243
Idaho,16,1293953,1567582,1839106,0.21146749534179365,0.1732119914620096,0.4213081928014386
Illinois,17,12419293,12830632,12812508,0.03312096751401228,-0.0014125570743513949,0.03166162518268956
Indiana,18,6080485,6483802,6785528,0.06632974178868944,0.04653535070935222,0.11595177029463932
Iowa,19,2926324,3046355,3190369,0.041017672684227735,0.047274201463716414,0.09023095186999108
Kansas,20,2688418,2853118,2937880,0.061262794699336265,0.02970855043499787,0.09279137396044801
Kentucky,21,4041769,4339367,4505836,0.07363063054815844,0.03836250771137828,0.11481779389173408
Louisiana,22,4468976,4533372,4657757,0.014409564965218058,0.02743763362018381,0.04224256294954376
Maine,23,1274923,1328361,1362359,0.0419146881811685,0.02559394622395561,0.06858139668042695
Maryland,24,5296486,5773552,6177224,0.09007217237995158,0.0699174442353685,0.16628723270485368
Massachusetts,25,6349097,6547629,7029917,0.03126932853601061,0.07365841894829406,0.10723099678584225
Michigan,26,9938444,9883640,10077331,-0.005514344096520518,0.01959713223063564,0.013974722803690387
Minnesota,27,4919479,5303925,5706494,0.07814770629166223,0.07590020597953395,0.15997933927556152
Mississippi,28,2844658,2967297,2961279,0.04311203666662222,-0.0020281084097749646,0.04099649237272107
Missouri,29,5595211,5988927,6154913,0.07036660458381294,0.027715482255836532,0.10003233122039545
Montana,30,902195,989415,1084225,0.09667533072118561,0.09582430021780541,0.20176347685367357
Nebraska,31,1711263,1826341,1961504,0.0672474073242979,0.07400753747520317,0.1462317598171643
Nevada,32,1998257,2700551,3104614,0.3514532915435802,0.14962242890432353,0.5536610155750736
New Hampshire,33,1235786,1316470,1377529,0.0652896213422065,0.046380851823436986,0.11469866141872465
New Jersey,34,8414350,8791894,9288994,0.04486906296980764,0.05654071807508143,0.10394671008455791
New Mexico,35,1819046,2059179,2117522,0.13201040545428766,0.028333136653005964,0.16408381096464852
New York,36,18976457,19378102,20201249,0.021165436730365528,0.04247820555387727,0.06454271205631268
North Carolina,37,8049313,9535483,10439388,0.18463314819538024,0.09479383477480896,0.2969290671141749
North Dakota,38,642200,672591,779094,0.04732326378075369,0.1583473463070424,0.2131641233260666
Ohio,39,11353140,11536504,11799448,0.016150950309782086,0.022792346797608776,0.03931141516796233
Oklahoma,40,3450654,3751351,3959353,0.08714203162646839,0.055447224213356794,0.14742103960582553
Oregon,41,3421399,3831074,4237256,0.11973903072982717,0.10602301077974485,0.2384571340553967
Pennsylvania,42,12281054,12702379,13002700,0.03430690883697762,0.023642893980726054,0.058760917426142756
Rhode Island,44,1048319,1052567,1097379,0.004052201667622102,0.04257401191563104,0.046798732065335136
South Carolina,45,4012012,4625364,5118425,0.15287890464933795,0.10659939412335984,0.2757750973825601
South Dakota,46,754844,814180,886667,0.0786069704468737,0.08903068117615276,0.17463608374710526
Tennessee,47,5689283,6346105,6910840,0.11544899418784405,0.08898923040195528,0.21471194173325525
Texas,48,20851820,25145561,29145505,0.20591684562786372,0.159071575297127,0.39774393793923024
Utah,49,2233169,2763885,3271616,0.23765151674593366,0.18370192681678144,0.46501048509987375
Vermont,50,608827,625741,643077,0.027781290908583278,0.02770475324455335,0.056255717962574
Virginia,51,7078515,8001024,8631393,0.13032521651787143,0.07878604038683057,0.21937906467670132
Washington,53,5894121,6724540,7705281,0.14088937095115628,0.1458450689563895,0.3072824599291395
West Virginia,54,1808344,1852994,1793716,0.02469109859628471,-0.031990389607305825,-0.008089168874948593
Wisconsin,55,5363675,5686986,5893718,0.06027788782877419,0.03635176875765134,0.09882086442597648
Wyoming,56,493782,563626,576851,0.14144703533138103,0.023464141114852843,0.1682301096435268
Puerto Rico,72,3808610,3725789,3285874,-0.021745728756685456,-0.1180729772942053,-0.1372511231131568
