,State,Households,Married_couple_households_with_no_children,Households_with_1_or_more_children,Married_couple_households_with_1_or_more_children,Median_household_income,Children_below_poverty_level,Children_at_or_above_poverty_level,Children_in_married_couple_families_below_poverty_level,Children_in_married_couple_families_at_or_above_poverty_level,Children_in_female_householder_families_below_poverty_level,Children_in_female_householder_families_at_or_above_poverty_level,Children_in_male_householder_families_below_poverty_level,Children_in_male_householder_families_at_or_above_poverty_level,Number_of_married-couple_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Number_of_married-couple_families_at_or_above_the_poverty_level_where_householder_did_not_graduate_high_school,Number_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Number_of_married-couple_families_at_or_above_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Number_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Number_of_married-couple_families_at_or_above_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Number_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Number_of_married-couple_families_at_or_above_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Number_of_female-householder_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Number_of_female-householder_families_at_or_above_the_poverty_level_where_householder_did_not_graduate_high_school,Number_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Number_of_female-householder_families_at_or_above_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Number_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Number_of_female-householder_families_at_or_above_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Number_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Number_of_female-householder_families_at_or_above_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Total_number_of_individuals_25+y/o_in_table_B16010,Number_of_individuals_25+y/o_who_did_not_graduate_high_school,Number_of_individuals_25+y/o_whose_highest_education_level_=_high_school_graduate/equivalent,Number_of_individuals_25+_y/o_whose_highest_education_level_=_some_college/associate's_degree,Number_of_individuals_25+_y/o_whose_highest_education_level_=_bachelor's_degree_or_higher,Married_couple_households_with_one_or_more_children_as_proportion_of_all_households,Married_couple_households_with_one_or_more_children_as_proportion_of_all_households_with_one_or_more_children,Proportion_of_children_below_poverty_level,Proportion_of_children_in_married_couple_families_below_poverty_level,Proportion_of_children_in_female_householder_families_below_poverty_level,Proportion_of_children_in_male_householder_families_below_poverty_level,Proportion_of_married-couple_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Proportion_of_female-householder_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Proportion_of_individuals_25+y/o_who_did_not_graduate_high_school,Proportion_of_individuals_25+y/o_whose_highest_education_level_=_high_school_graduate/equivalent,Proportion_of_individuals_25+_y/o_whose_highest_education_level_=_some_college/associate's_degree,Proportion_of_individuals_25+_y/o_whose_highest_education_level_=_bachelor's_degree_or_higher
0,Utah,998891.0,291726.0,402100.0,316681.0,71414.0,85107.0,831284.0,35661.0,717052.0,43989.0,74349.0,5457.0,39883.0,2666.0,26148.0,4136.0,93939.0,7753.0,211905.0,7503.0,254357.0,5781.0,6200.0,5526.0,19116.0,7031.0,27318.0,2046.0,17507.0,1871902.0,142082.0,423407.0,653968.0,652445.0,0.3170325891413578,0.7875677692116388,0.09287192912195777,0.04737662296253685,0.371723368655884,0.12035730039700045,0.09252446727285348,0.04217180729033903,0.035295777982135866,0.02865271519132361,0.48251398046907606,0.22425127830533237,0.20469300416314887,0.1046386743722191,0.0759024778006541,0.22619079417619084,0.3493601694960527,0.34854655852710237
1,Alaska,254551.0,67498.0,87148.0,60326.0,74346.0,24235.0,154802.0,9682.0,121297.0,10356.0,20332.0,4197.0,13173.0,524.0,4790.0,2036.0,23936.0,1764.0,45952.0,730.0,48092.0,920.0,879.0,2428.0,5654.0,1312.0,7873.0,197.0,4827.0,485353.0,32444.0,137293.0,169188.0,146428.0,0.23698983700712234,0.6922247211639969,0.13536308137424108,0.07392024675711374,0.3374608967674661,0.24162348877374784,0.09860745201354912,0.07839211458493762,0.03696873166233548,0.014952275613452951,0.5113952195664258,0.3004206879485276,0.14284158954817638,0.039211783439490444,0.06684619235896348,0.2828724660195775,0.3485875228957068,0.3016938187257522
2,Texas,9776083.0,2580101.0,3491908.0,2291873.0,60629.0,1522277.0,5763093.0,565024.0,4319511.0,850919.0,1029673.0,106334.0,413909.0,123036.0,520818.0,82605.0,878836.0,69927.0,1314970.0,40674.0,1841108.0,118577.0,138178.0,124727.0,237504.0,116301.0,348493.0,27805.0,241165.0,18477097.0,2963969.0,4627856.0,5284495.0,5600777.0,0.2344367370858042,0.6563383113186259,0.20894985429703639,0.11567610837060231,0.4524740081846568,0.20439294714200865,0.19109301176974905,0.08591790863921966,0.05049256370690383,0.02161461848396892,0.46182937041148175,0.34432999936504605,0.2502205278037152,0.10337584117187791,0.160413131997954,0.25046445337165246,0.28600244941074887,0.3031199652196446
3,Idaho,640270.0,202643.0,204505.0,146171.0,55583.0,61058.0,376332.0,24240.0,309008.0,33443.0,42861.0,3375.0,24463.0,2031.0,21585.0,4848.0,71711.0,6114.0,123034.0,3454.0,116037.0,3500.0,3507.0,5858.0,10749.0,5462.0,19309.0,1069.0,10847.0,1143747.0,103868.0,318218.0,405399.0,316262.0,0.22829587517765942,0.7147551404611134,0.13959624134067994,0.07273862108699827,0.4382863283707276,0.12123715784179898,0.0860010162601626,0.06332371112475346,0.047341035091522904,0.028905942706982116,0.4995004995004995,0.35274281929306917,0.22049977796617012,0.08971131252098019,0.09081379011267351,0.2782241177463198,0.3544481428148008,0.2765139493262059
4,California,13072122.0,3489337.0,4366906.0,2969086.0,75277.0,1504746.0,7320551.0,583498.0,5509268.0,779720.0,1207022.0,141528.0,604261.0,130618.0,727621.0,79638.0,947029.0,80873.0,1747323.0,57701.0,2687620.0,122114.0,199904.0,100257.0,284046.0,112808.0,469198.0,37124.0,359633.0,26815644.0,4355017.0,5559362.0,7730189.0,9171076.0,0.22713114213591337,0.679906093696544,0.17050372355740548,0.09576898242932684,0.3924616281328929,0.1897694924435732,0.15219303713767376,0.07756945533459242,0.04423650418226492,0.021017942892652627,0.37921482650038196,0.26088008680650426,0.19382618048611183,0.09356860748518615,0.16240583295333128,0.20731786266255622,0.28827161488271547,0.342004689501397
5,New Jersey,3249567.0,940816.0,1026075.0,722978.0,81740.0,259521.0,1666275.0,83358.0,1302538.0,153674.0,254796.0,22489.0,108941.0,14340.0,94409.0,16428.0,311399.0,11266.0,350618.0,13648.0,851686.0,19908.0,28655.0,28909.0,96051.0,24835.0,95330.0,10561.0,105142.0,6189243.0,607496.0,1629398.0,1427357.0,2524992.0,0.2224844109999886,0.7046054138342713,0.13476037960407022,0.06014737036545311,0.3762185717433349,0.17111009662938445,0.13186328150143908,0.0501117967708578,0.031131522808413747,0.01577194470574368,0.4099417251817227,0.23134603072983354,0.2066741563683269,0.09127680354009836,0.09815352216741208,0.26326289014666254,0.23061899492393495,0.40796459276199043
6,Hawaii,455309.0,135434.0,141643.0,99728.0,80212.0,34407.0,261742.0,8258.0,205336.0,23508.0,40920.0,2641.0,15486.0,1057.0,10170.0,2081.0,45942.0,2228.0,75297.0,886.0,97501.0,1678.0,3820.0,3461.0,12700.0,3564.0,17617.0,1255.0,14440.0,995589.0,80079.0,266728.0,315209.0,333573.0,0.21903366724576057,0.7040799757135898,0.11618138166936239,0.03866213470415836,0.36487241571987333,0.1456942682186793,0.09414803598467979,0.04333340274451825,0.02873911641405998,0.009005254759266976,0.30520189159694433,0.21415753975620322,0.1682640101978188,0.07996177126473399,0.08043379346296514,0.2679097499068391,0.31660554706811744,0.33505090956207834
7,Kansas,1133408.0,325328.0,353633.0,245412.0,58218.0,99649.0,588044.0,32110.0,465345.0,55152.0,84759.0,12387.0,37940.0,5182.0,32037.0,7182.0,106739.0,6063.0,173901.0,2640.0,236996.0,5920.0,8307.0,9112.0,18193.0,11428.0,31046.0,2361.0,22841.0,1911426.0,172033.0,485753.0,607497.0,646143.0,0.2165257347751207,0.6939736958937656,0.14490332168569406,0.06454855213034345,0.39419345155134333,0.24613030778707254,0.13922996319084338,0.0630436881698721,0.03369007134760285,0.011016708674823482,0.4161102129753286,0.333711774400293,0.26905871827470923,0.0936830410284898,0.09000243797039488,0.25413120884617035,0.317823970166776,0.3380423830166588
8,Colorado,2176757.0,605861.0,652257.0,462324.0,71953.0,143078.0,1104410.0,49947.0,867068.0,78212.0,160165.0,14919.0,77177.0,6880.0,53029.0,7890.0,159025.0,10955.0,292839.0,7780.0,529787.0,10303.0,15156.0,11672.0,38275.0,14051.0,58575.0,6235.0,51518.0,3900287.0,317116.0,812615.0,1145007.0,1625549.0,0.21239118560317022,0.7088064980521481,0.11469288682536426,0.05446693892684416,0.32810212394652166,0.1619940062543433,0.11484084194361448,0.04726956834316868,0.03606062002541196,0.01447261457641559,0.40468989355434226,0.2336877089715098,0.19347065789111337,0.10795975966616453,0.08130581159796701,0.20834748827458083,0.2935699347253164,0.4167767654021358
9,Nebraska,765490.0,218226.0,237634.0,161575.0,59566.0,57486.0,405287.0,19600.0,317325.0,32367.0,59725.0,5519.0,28237.0,3210.0,19812.0,3985.0,72889.0,4318.0,121402.0,1596.0,152589.0,2720.0,4021.0,5878.0,13186.0,7248.0,21348.0,1593.0,15429.0,1266440.0,108346.0,326400.0,420964.0,410730.0,0.21107395263164772,0.6799321645892423,0.1242207302500362,0.058173183943014024,0.3514637536376667,0.1634968598175139,0.13943184779775866,0.05183807269037646,0.034346166083359844,0.010351201478743069,0.4035009642486278,0.30832983634074695,0.25346202266051193,0.0935847726471625,0.08555162502763652,0.2577303306907552,0.3323994820125707,0.3243185622690376
